"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
545;"M";"";"nunca";"Vida_Riesgo"
546;"H";"C";"parcial";"No_vida"
547;"H";"";"parcial";"Ahorro"
548;"M";"C";"parcial";"No_vida"
549;"M";"S";"total";"Autos"
550;"H";"";"parcial";"Vida_Riesgo"
551;"M";"C";"nunca";"Ahorro"
552;"H";"C";"fallecido";"Ahorro"
553;"M";"S";"nunca";"No_vida"
554;"M";"";"parcial";"Ahorro"
555;"H";"";"total";"Ahorro"
556;"H";"D";"total";"No_vida"
557;"H";"C";"parcial";"Ahorro"
558;"M";"";"nunca";"Ahorro"
559;"H";"C";"total";"Ahorro"
560;"M";"C";"nunca";"No_vida"
561;"H";"C";"total";"No_vida"
562;"M";"C";"parcial";"Ahorro"
563;"H";"";"total";"Autos"
564;"M";"D";"parcial";"Ahorro"
565;"H";"S";"nunca";"RC"
566;"H";"C";"parcial";"Ahorro"
567;"H";"";"nunca";"Ahorro"
568;"M";"S";"total";"No_vida"
569;"H";"";"nunca";"Ahorro"
570;"H";"S";"total";"No_vida"
571;"H";"C";"parcial";"Ahorro"
572;"H";"";"total";"Ahorro"
573;"H";"C";"nunca";"Ahorro"
574;"H";"";"fallecido";"Ahorro"
575;"H";"C";"nunca";"No_vida"
576;"M";"C";"nunca";"Ahorro"
577;"H";"S";"total";"No_vida"
578;"H";"C";"parcial";"Ahorro"
579;"M";"S";"parcial";"Ahorro"
580;"H";"C";"parcial";"Ahorro"
581;"M";"C";"total";"Autos"
582;"H";"C";"parcial";"Ahorro"
583;"M";"C";"total";"No_vida"
584;"M";"";"total";"No_vida"
585;"H";"S";"nunca";"No_vida"
586;"M";"C";"parcial";"Ahorro"
587;"H";"D";"parcial";"No_vida"
588;"H";"D";"parcial";"Ahorro"
589;"H";"C";"total";"No_vida"
590;"H";"C";"total";"Ahorro"
591;"H";"S";"parcial";"Ahorro"
592;"M";"S";"total";"No_vida"
593;"H";"C";"total";"Ahorro"
594;"H";"";"parcial";"Ahorro"
595;"M";"";"total";"Ahorro"
596;"H";"C";"total";"Vida_Riesgo"
597;"H";"S";"total";"No_vida"
598;"H";"C";"total";"No_vida"
599;"H";"";"total";"Ahorro"
600;"H";"";"fallecido";"Ahorro"
601;"H";"C";"nunca";"Rentas"
